CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,Salary,Churn
576,Germany,Female,36,8,166287.85,1,1,1,23306,0
699,France,Male,28,7,0.0,2,1,1,22685,0
734,France,Male,51,1,118537.47,1,1,1,116912,0
443,France,Female,54,3,138547.97,1,1,1,70196,1
560,France,Male,49,4,0.0,1,1,1,100075,1
652,Spain,Male,37,7,0.0,2,1,0,68790,0
646,Spain,Female,50,5,142644.64,2,1,1,142208,1
614,Germany,Female,39,8,125997.22,1,1,1,128049,1
718,France,Female,31,0,118100.59,2,1,0,103165,0
613,France,Male,36,9,131307.11,1,0,0,83344,0
663,Spain,Female,33,8,122528.18,1,1,0,196260,0
582,Germany,Female,50,6,96486.57,2,1,1,20344,0
640,France,Male,43,7,132412.38,1,0,0,69584,1
677,Spain,Female,43,3,133214.88,2,1,1,95937,0
708,Spain,Male,38,8,99640.89,1,1,0,12429,0
516,Germany,Male,50,7,139675.07,2,1,0,45591,0
653,Spain,Male,55,2,70263.83,1,0,1,62348,0
850,France,Male,19,8,0.0,1,1,1,68570,0
535,France,Female,38,0,135919.33,1,1,0,80426,0
656,France,Male,50,7,0.0,2,0,1,72143,0
713,Germany,Female,61,4,149525.34,2,1,0,123664,0
811,Germany,Male,52,10,76915.4,1,0,0,146360,1
603,France,Male,31,1,129743.75,1,1,0,109145,0
682,France,Female,30,9,0.0,2,1,1,195105,0
764,Spain,Male,29,5,0.0,2,1,0,65868,0
573,Spain,Male,44,9,0.0,2,1,0,107124,0
546,France,Male,28,8,0.0,1,1,0,159254,0
601,Germany,Male,48,9,163630.76,1,0,1,41816,1
692,Germany,Male,53,7,150926.99,2,0,0,119817,0
693,France,Male,21,1,0.0,2,1,1,3494,0
695,France,Female,23,1,0.0,2,1,1,141756,0
617,France,Female,27,4,0.0,2,0,0,190269,0
715,France,Male,45,4,0.0,2,1,1,55044,0
642,France,Male,35,4,125476.31,1,1,1,91776,0
701,France,Female,37,3,0.0,2,1,1,164268,0
723,Germany,Female,68,3,110357.0,1,0,0,141978,1
607,Spain,Female,33,2,108431.87,2,0,1,109291,1
652,France,Female,40,1,0.0,2,1,0,126555,0
734,France,Male,34,6,133598.4,1,1,1,13107,0
784,Spain,Male,48,7,0.0,2,1,1,182610,0
462,Germany,Male,34,1,94682.56,2,1,0,138478,0
480,Germany,Male,44,10,129608.57,1,1,0,5473,1
750,Germany,Male,42,8,151836.36,2,1,0,68695,0
775,France,Male,28,9,111167.7,1,1,0,149331,0
755,France,Male,62,1,127706.33,2,0,1,142378,0
610,France,Female,31,6,107784.65,1,1,1,141138,0
720,Spain,Male,31,4,141356.47,1,0,0,137986,0
680,France,Male,31,1,0.0,2,1,1,3148,0
704,France,Male,42,8,129735.3,2,1,1,179566,0
818,France,Female,31,1,186796.37,1,0,0,178253,0
631,Spain,Female,31,2,88161.85,2,1,0,127631,0
685,France,Male,33,6,0.0,1,1,0,58458,0
821,Germany,Female,31,2,68927.57,1,1,1,25445,0
586,France,Female,52,6,140900.97,1,1,1,67289,0
656,France,Female,30,4,74323.2,1,1,1,22929,0
602,France,Female,35,5,0.0,2,1,0,31050,0
581,Germany,Female,26,3,105099.45,1,1,1,184520,1
565,France,Female,44,1,0.0,2,0,1,89603,0
742,Germany,Female,36,2,129748.54,2,0,0,47272,1
590,France,Female,32,0,127763.24,1,1,0,100718,0
580,France,Male,55,6,104305.74,1,0,1,175750,0
619,Germany,Male,40,9,103604.31,2,0,0,140947,0
679,France,Female,44,3,118742.74,2,1,0,1569,0
613,Spain,Male,39,8,118201.41,1,1,0,23316,0
797,Spain,Male,59,4,129321.44,1,1,1,93625,0
605,France,Male,35,6,0.0,2,1,1,45207,0
545,France,Male,30,3,0.0,2,1,0,170307,0
719,Spain,Female,32,7,0.0,1,0,0,76264,0
687,Spain,Female,29,7,93617.07,1,0,1,113051,0
689,Germany,Male,26,4,120727.97,1,0,1,149074,0
689,Spain,Female,28,3,0.0,2,1,1,192449,0
633,Germany,Female,29,0,138577.34,1,1,0,193363,0
771,France,Female,23,7,156123.73,1,1,0,72991,0
850,Spain,Male,37,4,88141.1,1,1,0,109659,0
636,Germany,Male,30,8,141787.31,2,1,1,109686,0
802,Spain,Male,38,7,0.0,2,0,1,57765,0
732,Germany,Female,45,6,98792.4,1,1,0,81492,1
612,France,Female,33,0,64900.32,2,1,0,102426,0
680,Spain,Male,35,9,0.0,2,0,0,143774,0
637,Spain,Female,22,5,98800.0,1,1,0,122866,0
583,France,Male,24,9,135125.28,1,0,0,89802,0
770,France,Female,37,9,0.0,2,0,0,22711,0
618,Spain,Male,33,4,0.0,2,1,1,77550,0
678,France,Female,48,2,0.0,2,1,1,32302,0
802,France,Female,60,3,92887.06,1,1,0,39474,1
640,France,Male,33,7,154575.76,1,1,0,25722,1
550,France,Male,25,0,0.0,2,1,1,184221,0
443,Germany,Male,50,3,117206.3,1,1,0,42840,1
712,Spain,Female,79,5,108078.56,1,1,1,174119,0
677,Spain,Male,56,5,123959.97,1,1,1,60591,1
679,France,Male,36,1,97234.58,1,1,0,188997,0
452,France,Female,60,6,121730.49,1,1,1,142963,0
738,Spain,Male,35,3,0.0,1,1,1,15651,0
760,Spain,Male,38,3,91241.85,1,0,1,80682,0
750,Spain,Male,22,3,121681.82,1,1,0,128643,1
678,France,Male,43,5,102338.19,1,1,1,79650,0
472,Spain,Female,32,1,159397.75,1,0,1,57323,0
672,France,Female,43,4,92599.55,2,1,1,167337,0
771,France,Male,32,5,62321.62,1,1,1,40921,0
575,Spain,Male,52,8,123925.23,1,0,0,111343,1
562,France,Female,51,7,122822.0,2,0,0,32626,0
762,France,Male,28,2,0.0,2,1,0,167910,0
578,France,Male,39,2,0.0,2,1,0,70564,0
717,France,Male,40,0,98241.04,1,1,0,110887,0
700,Germany,Male,35,4,95853.39,2,1,0,192933,0
710,Spain,Male,22,8,0.0,3,1,0,107293,0
722,France,Male,46,6,0.0,1,1,1,93918,1
627,Germany,Female,33,4,83199.05,1,0,0,159335,0
470,France,Male,35,1,96473.59,1,0,0,5962,0
662,Spain,Male,38,4,0.0,2,1,0,136260,0
669,France,Female,41,0,150219.41,2,0,0,107839,0
691,France,Female,31,5,40915.55,1,1,0,126214,1
612,France,Male,41,5,0.0,3,0,0,151256,0
697,France,Female,45,1,0.0,2,1,0,46808,1
581,France,Female,37,10,104255.03,1,1,0,86609,0
585,France,Female,33,4,152805.05,1,1,0,63240,0
653,Germany,Female,25,2,158266.42,3,1,1,199357,0
780,France,Female,26,3,140356.7,1,1,0,117144,0
645,France,Male,25,0,174400.36,1,1,0,42669,0
600,Germany,Male,30,2,119755.0,1,1,1,21853,0
647,Germany,Male,51,4,131156.76,1,1,0,29884,0
756,France,Female,23,1,112568.31,1,1,1,113408,0
850,France,Male,43,4,161256.53,1,1,1,140072,0
804,Spain,Male,33,7,76548.6,1,0,1,98453,0
744,France,Female,43,10,147832.15,1,0,1,24234,0
740,France,Male,33,1,129574.98,1,1,1,123300,0
684,France,Male,27,2,134603.88,1,1,1,71726,0
640,France,Male,40,8,110340.68,1,1,1,157887,0
583,France,Female,27,4,0.0,3,1,0,163113,0
605,France,Female,51,9,104760.82,1,1,1,165575,1
850,France,Female,38,1,106871.81,2,1,0,29333,0
591,Spain,Female,40,1,86376.29,1,0,1,136767,1
676,France,Male,31,3,78990.15,1,1,1,124777,0
684,France,Male,54,6,0.0,2,1,1,94889,0
802,Spain,Male,41,5,0.0,2,1,1,134626,0
804,France,Male,24,3,0.0,2,1,0,173195,0
807,Germany,Female,31,1,141069.18,3,1,1,194257,0
512,France,Male,51,6,144953.31,1,1,1,165035,0
588,Spain,Male,34,10,0.0,2,1,0,79079,0
646,Germany,Male,32,8,105397.8,1,1,0,78112,1
533,Germany,Female,22,10,115743.6,1,0,0,43852,0
492,Germany,Female,49,2,151249.45,2,1,1,167238,0
529,France,Female,27,1,0.0,2,1,1,37770,0
569,Spain,Female,41,4,139840.36,1,1,1,163525,0
663,France,Male,26,5,141462.13,1,1,0,440,0
850,France,Female,37,9,0.0,1,0,0,100101,0
705,France,Male,32,7,0.0,2,1,0,7922,0
647,Germany,Male,30,6,143138.91,2,1,0,2955,0
699,France,Male,29,3,125689.29,1,1,1,151624,0
545,Germany,Male,33,1,132527.9,2,0,1,107430,0
472,France,Male,29,8,102490.27,1,0,1,181225,0
565,France,Male,49,7,0.0,2,1,1,89609,0
758,Spain,Female,35,5,0.0,2,0,0,100366,0
753,Germany,Female,35,5,82453.96,2,0,0,18255,0
688,France,Male,26,1,0.0,2,1,1,104436,0
530,Spain,Male,37,4,0.0,2,1,1,164844,0
506,Spain,Male,50,3,0.0,2,1,0,12017,0
661,France,Female,41,1,0.0,2,0,1,131301,0
466,Germany,Female,47,5,102085.72,1,1,1,183536,1
699,Spain,Female,50,0,158633.61,1,1,0,193786,0
677,Spain,Female,35,0,0.0,2,0,0,76637,0
599,Spain,Female,31,3,0.0,1,1,1,130086,1
633,Spain,Female,46,3,0.0,2,1,0,120251,0
657,Spain,Female,27,8,0.0,2,0,0,6468,0
811,France,Male,40,1,101514.89,1,1,1,121765,0
612,France,Male,24,1,182705.05,1,1,1,171837,0
850,France,Male,27,6,96654.72,2,0,0,152740,0
606,France,Male,31,10,0.0,2,1,0,195209,0
574,Spain,Male,52,7,115532.52,1,1,0,196258,0
669,France,Male,37,4,0.0,1,1,0,132540,0
554,France,Female,38,4,137654.05,2,1,1,172630,0
700,France,Female,32,3,0.0,1,0,0,95740,0
545,Germany,Male,45,6,93796.42,2,1,1,162321,0
829,Germany,Male,36,4,81795.74,2,1,0,90107,0
714,Spain,Male,25,2,0.0,1,1,1,132979,0
604,France,Male,53,8,144453.75,1,1,0,190999,1
672,France,Male,34,9,0.0,2,1,0,161801,0
663,Germany,Female,36,6,77253.5,1,0,0,35818,1
646,Germany,Male,39,9,111574.41,1,1,1,30839,0
713,France,Female,39,10,0.0,2,1,1,126264,0
742,France,Female,60,4,0.0,1,1,1,13162,1
745,France,Female,55,9,110123.59,1,0,1,51548,1
629,Spain,Female,30,2,34013.63,1,1,0,19571,0
619,Germany,Male,41,3,147974.16,2,1,0,170519,0
700,France,Female,34,2,76322.69,1,1,0,128136,0
704,France,Female,33,0,130499.09,2,1,1,74804,0
636,Germany,Female,37,9,157098.52,1,1,1,153535,0
609,Germany,Male,33,6,94126.67,1,0,0,93718,0
643,Spain,Female,32,2,0.0,1,0,0,131302,0
611,Spain,Male,51,1,122874.74,1,1,1,149648,0
737,France,Male,44,7,0.0,2,0,0,57899,0
714,France,Male,46,1,0.0,1,1,0,152168,1
625,Spain,Male,52,8,121161.57,1,1,0,48988,0
635,France,Female,40,10,123497.58,1,1,0,131953,1
760,France,Male,38,6,162888.73,1,1,0,91099,1
653,France,Male,34,5,118838.75,1,1,1,52820,0
696,France,Female,30,8,0.0,2,1,1,196134,0
850,France,Male,68,5,169445.4,1,1,1,186335,0
540,Spain,Male,67,1,88382.01,1,0,1,59457,0
502,France,Male,45,0,0.0,1,0,0,84663,0
577,Spain,Male,48,6,179852.26,1,1,0,193580,0
724,Germany,Male,41,2,127892.57,2,0,1,199645,0
675,Spain,Female,40,8,79035.95,1,1,0,142784,1
678,France,Female,32,5,0.0,2,1,0,90284,0
778,Germany,Male,41,7,139706.31,1,1,0,63337,0
552,France,Female,38,9,134105.01,1,0,0,57850,0
470,Spain,Male,30,4,125385.01,1,1,0,68294,0
696,Germany,Male,38,6,142316.14,1,1,1,8018,0
439,France,Female,43,8,0.0,1,0,1,104889,0
651,France,Male,35,2,86911.8,1,1,0,174094,0
673,Spain,Female,37,0,0.0,2,0,0,82351,0
554,France,Male,24,10,0.0,1,0,0,92181,0
505,Spain,Male,35,8,116932.59,1,1,0,91093,0
743,Spain,Male,45,7,157332.26,1,1,0,125424,0
598,Spain,Female,23,6,0.0,2,1,0,153229,0
850,Germany,Female,66,0,127120.62,1,0,1,118930,1
786,France,Male,34,3,137361.96,1,0,0,183682,0
586,Germany,Male,38,2,136858.42,1,0,1,189144,0
630,France,Female,26,5,0.0,2,1,0,182612,0
595,Germany,Male,30,9,130682.11,2,1,1,57863,0
695,France,Male,45,9,43134.65,1,0,1,77330,0
634,France,Male,34,8,105302.66,1,1,1,123165,0
701,France,Female,42,6,86167.82,1,1,0,153342,0
610,Spain,Female,50,5,130554.51,3,1,0,184758,1
581,Germany,Male,40,0,101016.53,1,0,1,7926,1
602,France,Female,72,3,0.0,2,1,1,171261,0
629,France,Male,59,9,113657.83,1,1,1,116849,1
653,Spain,Female,38,9,149571.94,1,1,0,118383,0
693,France,Female,39,4,0.0,2,0,1,142331,0
501,France,Female,40,2,0.0,2,0,0,141947,0
520,Spain,Male,43,7,0.0,2,1,1,36203,0
608,Germany,Female,40,8,121729.42,1,0,0,61164,0
667,France,Male,44,8,122277.87,1,1,1,91811,0
641,France,Male,41,6,0.0,2,1,0,65397,0
734,Germany,Female,52,6,71283.09,2,0,1,38984,0
826,Spain,Female,29,4,129938.07,1,0,1,190201,0
667,Germany,Male,33,9,124573.33,2,0,0,683,0
498,France,Female,29,9,0.0,1,1,0,190036,0
676,France,Female,61,8,0.0,2,1,1,118523,0
663,Spain,Male,64,6,0.0,2,0,1,15877,0
806,Germany,Male,30,8,168078.83,1,1,0,85028,1
744,Spain,Male,34,3,0.0,2,1,0,27244,0
650,France,Female,31,1,160566.11,2,0,0,27074,0
784,Spain,Male,33,10,0.0,2,1,0,162022,0
620,Spain,Male,42,9,121490.05,1,1,1,29297,0
779,Spain,Female,55,0,133295.98,1,1,0,22833,1
565,France,Male,32,9,0.0,2,1,0,5388,0
706,Germany,Male,67,1,123276.69,2,1,1,86508,1
761,France,Female,26,1,0.0,2,1,1,199409,0
659,Spain,Female,38,9,0.0,2,1,1,35701,0
722,Germany,Male,29,1,107233.85,2,1,0,24925,0
677,France,Male,27,2,0.0,2,1,1,20093,0
646,Spain,Male,25,5,182876.88,2,1,1,42538,1
767,Germany,Female,33,1,144753.21,1,1,1,132481,0
582,France,Male,30,2,0.0,2,1,1,132030,0
691,France,Male,28,1,0.0,2,0,0,92865,0
699,Spain,Male,31,6,114493.68,1,0,0,138396,0
572,Germany,Female,48,3,152827.99,1,1,0,38412,1
667,Spain,Male,45,3,0.0,2,0,0,163655,0
657,France,Male,50,9,0.0,2,0,0,37171,0
753,Germany,Male,30,1,110824.52,1,1,1,57896,0
756,Germany,Female,34,2,148200.72,1,0,0,194584,0
587,Germany,Female,32,3,125445.04,2,1,1,130515,0
551,Spain,Male,27,2,113873.22,1,1,1,85130,1
603,France,Male,46,2,0.0,2,1,1,59563,0
732,France,Male,41,8,0.0,2,1,1,170886,0
691,Germany,Female,37,7,123067.63,1,1,1,98162,1
652,Spain,Male,28,8,156823.7,2,1,0,198252,0
597,Spain,Female,46,4,0.0,2,1,0,58667,1
616,Germany,Female,42,6,117899.95,2,0,0,150267,0
622,Germany,Male,42,9,115766.26,1,0,0,72156,1
651,Germany,Female,41,4,133432.59,1,0,1,151303,0
722,Germany,Female,32,5,106807.64,1,1,1,76999,0
732,France,Male,79,10,61811.23,1,1,1,104223,0
464,France,Female,33,10,147493.7,2,1,0,100448,0
605,France,Male,52,7,0.0,2,1,1,173952,0
619,Germany,Female,28,6,99152.73,2,1,0,48475,0
605,France,Male,39,3,0.0,2,1,0,199390,0
778,France,Male,33,1,0.0,2,1,0,85440,0
687,France,Female,35,1,110752.15,2,1,1,47921,0
521,France,Male,38,5,110641.18,1,0,1,136508,1
590,Spain,Female,44,3,139432.37,1,1,0,62223,0
621,Spain,Female,43,8,0.0,1,0,0,102807,0
583,France,Female,44,8,0.0,2,1,1,27432,0
744,France,Male,29,1,43504.42,1,1,1,119328,0
715,France,Male,32,8,175307.32,1,1,0,187051,0
777,France,Male,43,1,0.0,2,1,0,21786,0
777,France,Male,37,1,0.0,1,1,1,126838,0
711,Germany,Male,26,9,128793.63,1,1,0,19262,0
716,France,Female,35,8,112808.18,1,0,1,17848,0
601,Germany,Female,48,8,120782.7,1,1,0,63941,1
597,Spain,Female,30,2,119370.11,1,1,1,182726,1
627,Spain,Male,49,4,111087.5,1,0,1,146680,0
850,France,Female,42,8,0.0,1,1,0,19633,1
748,France,Female,49,7,29602.08,1,0,0,163551,1
726,France,Male,37,2,132057.92,2,1,0,34744,0
721,Germany,Male,68,4,136525.99,1,0,0,175399,0
637,France,Male,41,2,0.0,2,0,1,102515,0
548,France,Female,28,8,116755.5,2,1,1,158585,1
663,Germany,Male,42,7,115930.87,1,1,0,19863,0
850,Spain,Male,31,6,82613.56,2,1,0,149171,0
516,France,Female,45,4,0.0,1,1,0,95274,1
600,Germany,Female,29,6,74430.1,2,1,1,96051,0
675,France,Female,38,1,104016.88,1,0,0,22069,1
686,Spain,Female,36,5,0.0,2,1,1,152979,0
497,Spain,Male,24,3,0.0,2,1,0,76390,0
629,France,Male,40,9,0.0,1,1,0,107,0
577,Germany,Female,31,4,61211.18,1,1,1,145250,0
728,Germany,Male,45,3,108924.33,2,1,0,84300,1
544,France,Female,64,3,124043.8,1,1,1,111403,1
643,Germany,Male,59,3,170331.37,1,1,1,32172,0
501,France,Male,40,4,125832.2,1,1,1,100434,0
837,France,Female,29,9,0.0,2,1,1,41866,0
517,Germany,Female,59,8,154110.99,2,1,0,101240,1
578,France,Male,50,5,151215.34,2,1,0,169804,0
438,France,Male,38,2,0.0,2,1,0,136860,0
775,France,Male,30,4,0.0,2,1,0,49338,0
556,Germany,Male,33,3,124213.36,2,1,0,62628,0
792,France,Male,34,1,0.0,1,0,1,86330,0
682,France,Female,35,2,181166.44,1,1,1,63737,1
777,France,Female,30,4,0.0,2,0,1,115612,0
648,France,Male,26,9,162923.85,1,1,0,98368,0
628,Germany,Male,39,1,115341.19,1,1,1,107674,1
414,Spain,Male,60,3,0.0,2,1,1,93845,0
561,Spain,Female,33,6,0.0,2,1,0,45261,0
641,Spain,Male,40,5,102145.13,1,1,1,100637,0
657,Spain,Male,36,8,0.0,2,0,1,123866,0
676,Spain,Male,27,4,0.0,1,0,1,107956,0
627,Germany,Male,24,5,102773.2,2,1,0,56793,1
610,Germany,Male,36,7,115462.02,1,0,1,42581,0
658,Germany,Female,28,9,152812.58,1,1,0,166683,0
755,France,Male,41,6,104817.41,1,1,0,126014,1
513,Germany,Male,34,7,60515.13,1,0,0,124571,0
457,Spain,Male,44,7,0.0,2,0,0,185992,0
505,Germany,Female,25,5,114268.85,2,1,1,126728,0
717,Spain,Female,49,1,110864.38,2,1,1,124533,1
503,Spain,Male,37,6,0.0,2,0,0,136507,0
763,Spain,Female,39,7,0.0,2,1,0,19459,0
663,France,Male,46,3,0.0,2,0,1,176276,0
822,France,Male,37,3,105563.0,1,1,0,182625,0
691,France,Female,44,6,134066.1,2,1,1,197572,0
671,France,Male,30,2,0.0,1,0,1,102058,0
684,France,Male,46,0,0.0,2,1,1,36377,0
809,France,Female,24,4,0.0,2,1,0,193519,0
576,France,Male,24,3,0.0,1,0,1,78498,1
520,France,Male,35,9,105387.89,1,1,1,25059,0
771,France,Male,39,5,0.0,2,1,0,96271,0
610,France,Male,40,9,0.0,1,1,1,149603,0
675,Germany,Female,29,8,121326.42,1,1,0,133458,0
703,France,Female,42,7,0.0,2,0,1,72501,0
516,France,Female,33,7,127305.5,1,1,1,120037,0
654,Spain,Male,40,5,105683.63,1,1,0,173617,0
729,Germany,Male,46,5,117837.43,1,1,0,104017,1
596,France,Male,36,2,0.0,2,1,1,12067,0
774,France,Female,42,3,137781.65,1,0,0,199316,0
545,Germany,Female,37,8,114754.08,1,1,0,136050,1
745,France,Female,32,2,0.0,4,0,1,179705,1
560,Spain,Male,47,1,0.0,1,0,0,128883,1
700,Germany,Female,40,4,148571.07,1,1,0,189827,1
550,Germany,Female,45,8,111257.59,1,0,0,97623,1
678,Germany,Male,83,6,123356.63,1,0,1,92934,0
520,France,Male,31,4,93249.4,1,1,0,77336,0
726,Germany,Male,50,9,94504.35,1,0,1,5079,0
596,Spain,Male,67,6,0.0,2,1,1,138351,0
569,Germany,Female,28,3,100032.52,1,1,0,5159,1
745,Germany,Male,45,10,117231.63,3,1,1,122381,1
655,France,Male,28,10,0.0,2,0,1,126565,0
669,Spain,Male,29,9,0.0,1,1,1,93902,0
711,France,Male,33,1,0.0,1,0,0,41590,0
786,Spain,Male,40,6,0.0,2,0,0,41249,0
775,France,Male,45,8,0.0,1,1,0,130377,0
798,Spain,Female,58,9,0.0,2,0,0,119072,1
752,Spain,Male,48,5,116060.08,1,1,0,156618,1
798,France,Male,37,8,0.0,3,0,0,110783,0
766,Germany,Female,62,7,142724.48,1,0,1,5893,1
704,France,Male,24,2,148197.15,2,1,0,182775,0
701,France,Male,33,9,147510.34,1,1,0,190612,0
695,France,Female,42,0,0.0,2,0,1,140725,0
715,France,Male,34,4,124314.45,1,0,0,97783,0
500,Germany,Male,30,2,125495.64,2,1,1,68807,0
537,France,Male,37,6,0.0,1,1,1,17802,0
850,France,Male,38,1,0.0,2,1,1,80007,0
602,Germany,Female,43,2,113641.49,4,1,0,115116,1
646,France,Female,45,3,47134.75,1,1,1,57236,0
772,Germany,Male,42,3,75075.31,2,1,0,92889,1
627,France,Female,32,1,0.0,1,1,0,106852,0
534,France,Male,62,2,0.0,2,0,0,42763,1
850,France,Male,20,7,0.0,2,1,0,31289,0
670,Germany,Female,35,2,79585.96,1,0,1,198803,0
532,France,Male,38,9,0.0,2,0,0,30584,0
812,France,Male,24,10,0.0,2,1,1,156906,0
648,Germany,Female,51,2,116574.84,1,1,0,4121,1
708,France,Male,34,3,0.0,1,0,1,121458,1
600,France,Female,43,5,134022.06,1,1,0,194765,0
696,France,Male,42,4,0.0,1,0,0,126353,1
837,Germany,Male,37,6,94001.61,2,1,0,140723,0
718,France,Male,33,7,102874.28,1,0,0,117841,0
684,Germany,Female,63,3,81245.79,1,1,0,69643,1
526,France,Male,32,7,125540.05,1,0,0,86786,0
495,Germany,Male,39,8,120252.02,2,1,1,10160,0
775,France,Female,66,9,0.0,2,1,1,67622,0
435,Germany,Male,44,3,151739.65,1,1,0,167462,0
718,France,Female,44,1,133866.22,1,0,1,139049,0
747,Germany,Male,36,8,102603.3,2,1,1,180694,0
470,France,Male,30,3,101140.76,1,1,1,50907,0
840,France,Female,43,7,0.0,2,1,0,90909,0
768,France,Male,25,6,0.0,2,1,1,21216,0
701,France,Male,41,10,0.0,2,1,1,146258,0
691,France,Female,33,6,0.0,2,1,1,100408,0
651,France,Male,45,1,0.0,1,1,0,67740,1
719,Germany,Male,28,3,106070.29,2,1,1,183893,0
497,Germany,Male,24,6,111769.14,2,1,0,55859,0
648,France,Female,50,9,102535.57,1,1,1,189543,0
585,Germany,Male,50,2,125845.66,1,1,0,9439,1
678,France,Female,22,6,118064.93,2,1,1,195424,0
548,France,Male,29,5,83442.98,1,0,1,177017,0
850,France,Male,39,6,96863.13,1,1,1,121681,0
437,France,Male,49,9,111634.29,2,0,1,166440,0
642,Germany,Female,39,8,128264.03,1,1,0,61793,1
612,Spain,Male,39,5,170288.38,1,1,1,59601,0
576,France,Male,55,9,0.0,2,1,1,94451,0
652,Spain,Female,42,3,83492.07,2,1,0,37914,0
732,France,Male,36,5,0.0,2,1,0,161428,0
627,France,Male,31,8,128131.73,1,1,0,96131,0
703,France,Female,33,8,190566.65,1,1,1,79997,0
523,France,Male,36,8,158351.02,2,1,0,155305,0
766,Germany,Male,44,3,116822.7,1,0,0,197643,0
837,Germany,Male,35,0,144037.6,1,1,0,145325,0
754,France,Male,38,2,0.0,2,1,0,180698,0
514,Spain,Male,66,9,0.0,2,1,1,14234,0
824,France,Male,45,3,129209.48,1,0,0,60152,0
814,France,Male,48,9,136596.85,1,1,1,185792,0
735,Spain,Male,39,1,60374.98,1,1,0,40224,0
601,Spain,Male,28,6,0.0,2,1,0,14665,0
579,Spain,Male,37,4,0.0,2,1,1,32247,0
754,France,Male,28,8,0.0,2,1,1,52616,0
574,Germany,Male,35,5,163856.76,1,1,1,15118,0
712,France,Male,34,8,114088.32,1,1,0,92795,0
650,Germany,Female,25,2,114330.95,1,1,1,25325,0
677,Germany,Female,26,3,102395.79,1,1,0,119369,0
721,France,Male,40,3,0.0,1,1,1,144875,0
618,Spain,Female,40,8,0.0,2,1,0,80204,0
679,France,Male,40,1,0.0,1,1,1,16897,0
850,France,Female,33,7,118004.26,1,1,0,183984,0
721,Spain,Female,36,2,0.0,2,1,1,106978,0
749,France,Female,27,9,0.0,2,1,0,132735,0
483,France,Female,50,9,0.0,2,1,1,111020,0
759,France,Female,39,6,0.0,2,1,1,140498,0
644,France,Male,40,8,93183.19,1,1,0,73882,0
648,Spain,Female,56,6,157559.59,2,1,0,140991,1
649,France,Male,47,1,0.0,2,1,1,145594,0
686,France,Female,41,7,152105.57,2,0,1,132374,0
678,Germany,Male,23,10,115563.71,1,1,1,91634,0
686,France,Female,41,4,129553.76,2,1,0,187600,0
567,Germany,Female,46,1,68238.51,2,1,1,109573,0
585,Germany,Female,28,9,135337.49,2,1,1,40386,0
684,Germany,Male,37,4,138476.41,2,1,1,52367,0
506,France,Female,41,1,0.0,2,1,0,31766,0
722,France,Female,49,3,168197.66,1,1,0,140766,1
629,Germany,Female,38,9,123948.85,1,1,0,76053,0
564,Spain,Male,48,5,132876.23,1,1,0,79260,0
660,Spain,Female,28,3,128929.88,1,1,1,198070,0
506,Spain,Male,32,8,0.0,2,0,1,182693,0
824,Spain,Female,38,3,0.0,2,1,0,192800,0
